,norm,norm,norm,norm,norm,norm,norm,norm,norm,norm,anomaly,anomaly,anomaly
63,0.040827408,0.018415313,0.01468625,0.021844257,0.012516045,0.015023907,0.015202371,0.020839231,0.018478272,0.006960627,0.016279299,0.014481757,0.025334962
64,0.04211,0.020245247,0.013500171,0.02247051,0.012690573,0.014581553,0.015452308,0.021017332,0.019193187,0.006745046,0.016141333,0.014771285,0.02588274
65,0.039485626,0.019378008,0.012212283,0.02155452,0.012639215,0.013785684,0.015349646,0.021084122,0.019259736,0.005745707,0.015868688,0.014915738,0.02403027
66,0.038709223,0.019766403,0.012486241,0.023023784,0.011898833,0.01469184,0.013896104,0.022264611,0.020077527,0.006428969,0.015552065,0.014697731,0.024497658
67,0.037505683,0.022804195,0.013419333,0.023000618,0.011564026,0.013606085,0.014524899,0.021510506,0.020310836,0.006007691,0.015334214,0.013741196,0.024764284
68,0.037263207,0.021281894,0.011063958,0.023013106,0.011262218,0.01266076,0.014491159,0.021374436,0.019969678,0.005384588,0.015302194,0.013760797,0.024304949
69,0.03508278,0.021389203,0.010284375,0.022421211,0.011915131,0.014818929,0.015058267,0.021467138,0.019245129,0.005740825,0.016016519,0.015030279,0.025907878
70,0.034717888,0.022094551,0.009934526,0.022651101,0.010762928,0.013213978,0.015217879,0.022082448,0.01961354,0.005531287,0.016211953,0.015050621,0.024193466
71,0.034769055,0.023155309,0.009778162,0.02243129,0.0123107,0.014213996,0.015102153,0.022916293,0.019528652,0.005889524,0.015900128,0.014535388,0.023838539
72,0.030937759,0.023187552,0.009914672,0.024428278,0.012185055,0.012759448,0.015573373,0.022935387,0.021544065,0.006724426,0.017026085,0.015465098,0.023733886
73,0.029770421,0.024323931,0.008523831,0.024769993,0.011919804,0.012413233,0.015667504,0.024103059,0.020612286,0.005464391,0.016620271,0.015429431,0.023051417
74,0.028172206,0.022545736,0.008633743,0.024010777,0.011759777,0.012422564,0.015654597,0.024006533,0.020667801,0.004973724,0.016596252,0.014296501,0.02201882
